match_type,EPM,facility,city,state,feedstock_class,pathway_type,coproduct,wa_code,wa_ci,ca_pathway,ca_feedstock,ca_coproduct,ca_ci,wa_minus_ca_ci
exact,3667,Poet Biorefining- Chancellor LLC,Chancellor,SD,corn starch,Ethanol from Corn,,ETHWA009A00920101,62.44,Starch,Corn (009),DDGS + WDGS,62.63,-0.19000000000000483
exact,3667,Poet Biorefining- Chancellor LLC,Chancellor,SD,fiber/cellulosic,Ethanol from Biomass,,ETHWA012A00920201,22.38,Fiber,Corn Fiber (012),,23.48,-1.1000000000000014
exact,3669,Poet Biorefinning-Coon Rapids,Coon Rapids,IA,fiber/cellulosic,Ethanol from Biomass,,ETHWA012A00930302,26.47,Fiber,Corn Fiber (012),DDGS + WDGS,26.63,-0.16000000000000014
exact,3669,Poet Biorefinning-Coon Rapids,Coon Rapids,IA,corn starch,Ethanol from Corn,DDGS,ETHWA009A00930101,72.95,Starch,Corn (009),DDGS,72.88,0.07000000000000739
exact,3669,Poet Biorefinning-Coon Rapids,Coon Rapids,IA,corn starch,Ethanol from Corn,WDGS,ETHWA009A00930201,66.35,Starch,Corn (009),WDGS,66.28,0.06999999999999318
exact,3670,Poet Biorefinning-Corning LLC,Corning,IA,corn starch,Ethanol from Corn,DDGS,ETHWA009A00670102,74.97,Starch,Corn (009),DDGS,74.8,0.1700000000000017
exact,3670,Poet Biorefinning-Corning LLC,Corning,IA,corn starch,Ethanol from Corn,WDGS,ETHWA009A00670202,66.75,Starch,Corn (009),WDGS,66.57,0.18000000000000682
exact,3670,Poet Biorefinning-Corning LLC,Corning,IA,fiber/cellulosic,Ethanol from Biomass,,ETHWA012A00670302,26.89,Fiber,Corn Fiber (012),DDGS + WDGS,26.96,-0.07000000000000028
exact,3676,Poet Biorefining- Groton LLC,Groton,SD,corn starch,Ethanol from Corn,DDGS,ETHWA009A00700101,74.91,Starch,Corn (009),DDGS,75.67,-0.7600000000000051
exact,3676,Poet Biorefining- Groton LLC,Groton,SD,corn starch,Ethanol from Corn,WDGS,ETHWA009A00700201,67.97,Starch,Corn (009),WDGS,68.73,-0.7600000000000051
exact,3676,Poet Biorefining- Groton LLC,Groton,SD,fiber/cellulosic,Ethanol from Biomass,,ETHWA012A00700301,27.96,Fiber,Corn Fiber (012),DDGS + WDGS,28.95,-0.9899999999999984
exact,3678,Poet Biorefining- Hudson,Hudson,SD,fiber/cellulosic,Ethanol from Biomass,,ETHWA012A00880302,26.51,Fiber,Corn Fiber (012),DDGS + WDGS,26.85,-0.33999999999999986
exact,3678,Poet Biorefining- Hudson,Hudson,SD,corn starch,Ethanol from Corn,DDGS,ETHWA009A00880101,73.86,Starch,Corn (009),DDGS,73.94,-0.0799999999999983
