match_type,EPM,facility,city,state,feedstock_class,pathway_type,coproduct,or_pathway_code,or_ci,ca_pathway_code,ca_pathway,ca_feedstock,ca_coproduct,ca_ci,or_minus_ca_ci,or_effective_date,ca_effective_date,or_process_type,ca_process_type,or_feedstock_description,ca_feedstock_description,or_gas_source,ca_gas_source,or_electricity_source,ca_electricity_source
exact,3626,Hankinson Renewable Energy LLC,Hankinson,ND,corn starch,Starch,MDGS,OR,54.39,CA,Starch,Corn (009),MDGS,68.88,-14.489999999999995,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),,Natural Gas,,Grid Electricity
exact,3633,Husker Ag LLC,Plainview,NE,fiber/cellulosic,Fiber,,OR,25.95,CA,Fiber,Corn Fiber (012),,25.83,0.120000000000001,2025-07-10,2026-05-19,Fiber,Fiber,Fiber,Corn Fiber (012),,Natural Gas,,Grid Electricity
exact,3633,Husker Ag LLC,Plainview,NE,corn starch,Starch,DDGS+MDGS,OR,53.09,CA,Starch,Corn (009),DDGS + MDGS,63.99,-10.899999999999999,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),,Natural Gas,,Grid Electricity
exact,3636,Kappa Ethanol LLC,Minden,NE,fiber/cellulosic,Fiber,,OR,22.4,CA,Fiber,Corn Fiber (012),,23.0,-0.6000000000000014,2025-07-10,2026-05-19,Fiber,Fiber,Fiber,Corn Fiber (012),Natural Gas,Natural Gas,Grid Electricity,Grid Electricity
exact,3636,Kappa Ethanol LLC,Minden,NE,corn starch,Starch,WDGS,OR,50.51,CA,Starch,Corn (009),WDGS,61.25,-10.740000000000002,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),Natural Gas,Natural Gas,Grid Electricity,Grid Electricity
exact,3637,Kappa Ethanol Ravenna LLC,Ravenna,NE,fiber/cellulosic,Fiber,,OR,25.02,CA,Fiber,Corn Fiber (012),,25.15,-0.129999999999999,2025-07-10,2026-05-19,Fiber,Fiber,Fiber,Corn Fiber (012),,Natural Gas,,Grid Electricity
exact,3637,Kappa Ethanol Ravenna LLC,Ravenna,NE,corn starch,Starch,DDGS,OR,61.62,CA,Starch,Corn (009),DDGS,74.68,-13.06000000000001,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),,Natural Gas,,Grid Electricity
exact,3637,Kappa Ethanol Ravenna LLC,Ravenna,NE,corn starch,Starch,WDGS,OR,51.3,CA,Starch,Corn (009),WDGS,63.9,-12.600000000000001,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),,Natural Gas,,Grid Electricity
exact,3648,Mid America Agri Products LLC,Madrid,NE,fiber/cellulosic,Fiber,,OR,31.86,CA,Fiber,Corn Fiber (012),,27.99,3.870000000000001,2025-07-10,2026-05-19,Fiber,Fiber,Fiber,Corn Fiber (012),,Natural Gas,,Grid Electricity
exact,3648,Mid America Agri Products LLC,Madrid,NE,corn starch,Starch,WDGS,OR,55.68,CA,Starch,Corn (009),WDGS,66.96,-11.279999999999994,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),,Natural Gas,,Grid Electricity
exact,3664,Poet Biorefining- Big Stone LLC,Big Stone City,SD,fiber/cellulosic,Fiber,,OR,28.82,CA,Fiber,Corn Fiber (012),,28.31,0.5100000000000016,2025-07-10,2026-05-19,Fiber,Fiber,Fiber,Corn Fiber (012),,Natural Gas,,Grid Electricity
exact,3664,Poet Biorefining- Big Stone LLC,Big Stone City,SD,corn starch,Starch,DDGS,OR,64.15,CA,Starch,Corn (009),DDGS,75.07,-10.919999999999987,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),,Natural Gas,,Grid Electricity
exact,3664,Poet Biorefining- Big Stone LLC,Big Stone City,SD,corn starch,Starch,WDGS,OR,56.72,CA,Starch,Corn (009),WDGS,67.98,-11.260000000000005,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),,Natural Gas,,Grid Electricity
exact,3667,Poet Biorefining- Chancellor LLC,Chancellor,SD,fiber/cellulosic,Fiber,,OR,23.3,CA,Fiber,Corn Fiber (012),,23.48,-0.17999999999999972,2025-07-10,2026-05-19,Fiber,Fiber,Fiber,Corn Fiber (012),Natural Gas,Biogas,Grid Electricity,Grid Electricity
exact,3667,Poet Biorefining- Chancellor LLC,Chancellor,SD,corn starch,Starch,DDGS+WDGS,OR,51.02,CA,Starch,Corn (009),DDGS + WDGS,62.63,-11.61,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),Natural Gas,Biogas,Grid Electricity,Grid Electricity
exact,3669,Poet Biorefinning-Coon Rapids,Coon Rapids,IA,fiber/cellulosic,Fiber,,OR,29.06,CA,Fiber,Corn Fiber (012),DDGS + WDGS,26.63,2.4299999999999997,2025-07-10,2026-05-19,Fiber,Fiber,Fiber,Corn Fiber (012),,Natural Gas,,Grid Electricity
exact,3669,Poet Biorefinning-Coon Rapids,Coon Rapids,IA,corn starch,Starch,WDGS,OR,62.64,CA,Starch,Corn (009),WDGS,66.28,-3.6400000000000006,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),,Natural Gas,,Grid Electricity
exact,3670,Poet Biorefinning-Corning LLC,Corning,IA,fiber/cellulosic,Fiber,,OR,26.13,CA,Fiber,Corn Fiber (012),DDGS + WDGS,26.96,-0.8300000000000018,2025-07-10,2026-05-19,Fiber,Fiber,Fiber,Corn Fiber (012),,Natural Gas,,Grid Electricity
exact,3670,Poet Biorefinning-Corning LLC,Corning,IA,corn starch,Starch,WDGS,OR,60.92,CA,Starch,Corn (009),WDGS,66.57,-5.6499999999999915,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),,Natural Gas,,Grid Electricity
exact,3676,Poet Biorefining- Groton LLC,Groton,SD,fiber/cellulosic,Fiber,,OR,28.14,CA,Fiber,Corn Fiber (012),DDGS + WDGS,28.95,-0.8099999999999987,2025-07-10,2026-05-19,Fiber,Fiber,Fiber,Corn Fiber (012),,Natural Gas,,Grid Electricity
exact,3676,Poet Biorefining- Groton LLC,Groton,SD,corn starch,Starch,DDGS,OR,63.41,CA,Starch,Corn (009),DDGS,75.67,-12.260000000000005,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),,Natural Gas,,Grid Electricity
exact,3676,Poet Biorefining- Groton LLC,Groton,SD,corn starch,Starch,WDGS,OR,56.16,CA,Starch,Corn (009),WDGS,68.73,-12.570000000000007,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),,Natural Gas,,Grid Electricity
exact,3678,Poet Biorefining- Hudson,Hudson,SD,fiber/cellulosic,Fiber,,OR,27.1,CA,Fiber,Corn Fiber (012),DDGS + WDGS,26.85,0.25,2025-07-10,2026-05-19,Fiber,Fiber,Fiber,Corn Fiber (012),,Natural Gas,,Grid Electricity
exact,3678,Poet Biorefining- Hudson,Hudson,SD,corn starch,Starch,DDGS,OR,62.99,CA,Starch,Corn (009),DDGS,73.94,-10.949999999999996,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),,Natural Gas,,Grid Electricity
exact,3678,Poet Biorefining- Hudson,Hudson,SD,corn starch,Starch,WDGS,OR,55.27,CA,Starch,Corn (009),WDGS,66.79,-11.520000000000003,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),,Natural Gas,,Grid Electricity
exact,3680,Poet Biorefinning-Jewell LLC,Jewell,IA,fiber/cellulosic,Fiber,,OR,27.29,CA,Fiber,Corn Fiber (012),DDGS + WDGS,27.18,0.10999999999999943,2025-07-10,2026-05-19,Fiber,Fiber,Fiber,Corn Fiber (012),,Natural Gas,,Grid Electricity
exact,3680,Poet Biorefinning-Jewell LLC,Jewell,IA,corn starch,Starch,WDGS,OR,62.32,CA,Starch,Corn (009),WDGS,67.19,-4.869999999999997,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),,Natural Gas,,Grid Electricity
exact,3687,Poet Biorefining- Mitchell LLC,Mitchell,SD,fiber/cellulosic,Fiber,WDGS,OR,26.92,CA,Fiber,Corn Fiber (012),DDGS + WDGS,26.48,0.4400000000000013,2025-07-10,2026-05-19,Fiber,Fiber,Fiber,Corn Fiber (012),Natural Gas,Natural Gas,Grid Electricity,Grid Electricity
exact,3687,Poet Biorefining- Mitchell LLC,Mitchell,SD,corn starch,Starch,DDGS,OR,62.55,CA,Starch,Corn (009),DDGS,73.69,-11.14,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),Natural Gas,Natural Gas,Grid Electricity,Grid Electricity
exact,3687,Poet Biorefining- Mitchell LLC,Mitchell,SD,corn starch,Starch,WDGS,OR,55.03,CA,Starch,Corn (009),WDGS,66.07,-11.039999999999992,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),Natural Gas,Natural Gas,Grid Electricity,Grid Electricity
exact,3700,Redfield Energy LLC,Redfield,SD,fiber/cellulosic,Fiber,,OR,28.72,CA,Fiber,Corn Fiber (012),,29.06,-0.33999999999999986,2025-07-10,2026-05-19,Fiber,Fiber,Fiber,Corn Fiber (012),,Natural Gas,,Grid Electricity
exact,3700,Redfield Energy LLC,Redfield,SD,corn starch,Starch,DDGS+MDGS+WDGS,OR,55.8,CA,Starch,Corn (009),DDGS + WDGS,68.05,-12.25,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),,Natural Gas,,Grid Electricity
exact,3700,Redfield Energy LLC,Redfield,SD,corn starch,Starch,,OR,55.31,CA,Starch,Corn (009),DDGS + WDGS,68.05,-12.739999999999995,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),,Natural Gas,,Grid Electricity
exact,3702,Ringneck Energy & Feed LLC,Onida,SD,fiber/cellulosic,Fiber,,OR,25.83,CA,Fiber,Corn Fiber (012),,26.13,-0.3000000000000007,2025-07-10,2026-05-19,Fiber,Fiber,Fiber,Corn Fiber (012),Natural Gas,Natural Gas,Grid Electricity,Grid Electricity
exact,3702,Ringneck Energy & Feed LLC,Onida,SD,corn starch,Starch,DDGS,OR,60.55,CA,Starch,Corn (009),DDGS,72.64,-12.090000000000003,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),Natural Gas,Natural Gas,Grid Electricity,Grid Electricity
exact,3702,Ringneck Energy & Feed LLC,Onida,SD,corn starch,Starch,WDGS,OR,52.5,CA,Starch,Corn (009),WDGS,64.17,-11.670000000000002,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),Natural Gas,Natural Gas,Grid Electricity,Grid Electricity
exact,3702,Ringneck Energy & Feed LLC,Onida,SD,sorghum,Starch,DDGS,OR,76.18,CA,Starch,Grain Sorghum (010),DDGS,76.51,-0.3299999999999983,2025-07-10,2026-05-19,Starch,Starch,Sorghum,Grain Sorghum (010),Natural Gas,Natural Gas,Grid Electricity,Grid Electricity
exact,3702,Ringneck Energy & Feed LLC,Onida,SD,sorghum,Starch,WDGS,OR,68.15,CA,Starch,Grain Sorghum (010),WDGS,68.04,0.10999999999999943,2025-07-10,2026-05-19,Starch,Starch,Sorghum,Grain Sorghum (010),Natural Gas,Natural Gas,Grid Electricity,Grid Electricity
exact,3705,Siouxland Energy Cooperative,Sioux Center,IA,fiber/cellulosic,Fiber,,OR,31.27,CA,Fiber,Corn Fiber (012),,22.23,9.04,2025-07-10,2026-05-19,Fiber,Fiber,Fiber,Corn Fiber (012),,Natural Gas,,Grid Electricity
exact,3705,Siouxland Energy Cooperative,Sioux Center,IA,corn starch,Starch,WDGS,OR,52.72,CA,Starch,Corn (009),DDGS,61.09,-8.370000000000005,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),,Natural Gas,,Grid Electricity
exact,3706,Siouxland Ethnaol LLC,Jackson,NE,fiber/cellulosic,Fiber,,OR,23.39,CA,Fiber,Corn Fiber (012),,25.0,-1.6099999999999994,2025-07-10,2026-05-19,Fiber,Fiber,Fiber,Corn Fiber (012),Biogas,Biogas,,Grid Electricity
exact,3706,Siouxland Ethnaol LLC,Jackson,NE,corn starch,Starch,,OR,51.1,CA,Starch,Corn (009),DDGS + MDGS,66.5,-15.399999999999999,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),Biogas,Biogas,,Grid Electricity
exact,3709,Sterling Ethanol LLC,Sterling,CO,corn starch,Starch,WDGS,OR,54.12,CA,Starch,Corn (009),WDGS,65.13,-11.009999999999998,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),,Natural Gas,,Grid Electricity
exact,3714,The Andersons Marathon Holdings LLC,Denison,IA,corn starch,Starch,DDGS,OR,60.34,CA,Starch,Corn (009),DDGS,71.88,-11.539999999999992,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),,Natural Gas,,Grid Electricity
exact,3714,The Andersons Marathon Holdings LLC,Denison,IA,corn starch,Starch,MDGS,OR,56.45,CA,Starch,Corn (009),MDGS,71.93,-15.480000000000004,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),,Natural Gas,,Grid Electricity
exact,3717,Trenton Agri Products LLC,Trenton,NE,fiber/cellulosic,Fiber,,OR,26.93,CA,Fiber,Corn Fiber (012),,26.52,0.41000000000000014,2025-07-10,2026-05-19,Fiber,Fiber,Fiber,Corn Fiber (012),Natural Gas,Natural Gas,Grid Electricity,Grid Electricity
exact,3717,Trenton Agri Products LLC,Trenton,NE,corn starch,Starch,DDGS,OR,63.0,CA,Starch,Corn (009),DDGS,74.5,-11.5,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),Natural Gas,Natural Gas,Grid Electricity,Grid Electricity
exact,3717,Trenton Agri Products LLC,Trenton,NE,corn starch,Starch,WDGS,OR,53.09,CA,Starch,Corn (009),WDGS,65.05,-11.959999999999994,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),Natural Gas,Natural Gas,Grid Electricity,Grid Electricity
exact,3736,Western Plains Energy LLC,Oakley,KS,corn starch,Starch,DDGS,OR,51.44,CA,Starch,Corn (009),WDGS,64.89,-13.450000000000003,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),,Natural Gas,,Grid Electricity
exact,3736,Western Plains Energy LLC,Oakley,KS,sorghum,Starch,DDGS,OR,66.87,CA,Starch,Grain Sorghum (010),WDGS,65.94,0.9300000000000068,2025-07-10,2026-05-19,Starch,Starch,Sorghum,Grain Sorghum (010),,Natural Gas,,Grid Electricity
exact,3739,Yuma Ethanol LLC,Yuma,CO,corn starch,Starch,DDGS,OR,51.86,CA,Starch,Corn (009),WDGS,64.45,-12.590000000000003,2025-07-10,2026-05-19,Starch,Starch,Corn,Corn (009),,Natural Gas,,Grid Electricity
