facility,city,state,or_pathway_code,or_ci,ca_pathway_code,ca_ci,or_minus_ca_ci,or_effective_date,ca_effective_date,or_process_type,ca_process_type,coproduct,ca_coproduct,or_feedstock_description,ca_feedstock_description,or_gas_source,ca_gas_source,or_electricity_source,ca_electricity_source,match_type,z_score,outside_2_stddev
Dakota Ethanol LLC,Wentworth,SD,OR,60.74,CA,73.05,-12.309999999999995,2025-07-10,2026-05-19,Starch,Starch,DDGS,DDGS,Corn,Corn (009),Natural Gas,Natural Gas,,Grid Electricity,exact,-0.2187635824011198,False
Dakota Ethanol LLC,Wentworth,SD,OR,56.77,CA,69.08,-12.309999999999995,2025-07-10,2026-05-19,Starch,Starch,MDGS,MDGS,Corn,Corn (009),Natural Gas,Natural Gas,,Grid Electricity,exact,-0.2187635824011198,False
Dakota Ethanol LLC,Wentworth,SD,OR,53.14,CA,65.45,-12.310000000000002,2025-07-10,2026-05-19,Starch,Starch,WDGS,WDGS,Corn,Corn (009),Natural Gas,Natural Gas,,Grid Electricity,exact,-0.2187635824011228,False
Chippewa Valley Ethanol Co LLLP,Benson,MN,OR,64.29,CA,76.7,-12.409999999999997,2025-07-10,2026-05-19,Starch,Starch,DDGS,DDGS,Corn,Corn (009),Natural Gas,Natural Gas,,Grid Electricity,exact,-0.2615465515799579,False
Chippewa Valley Ethanol Co LLLP,Benson,MN,OR,56.49,CA,68.9,-12.410000000000004,2025-07-10,2026-05-19,Starch,Starch,WDGS,WDGS,Corn,Corn (009),Natural Gas,Natural Gas,,Grid Electricity,exact,-0.2615465515799609,False
Poet Biorefining- Groton LLC,Groton,SD,OR,56.16,CA,68.73,-12.570000000000007,2025-07-10,2026-05-19,Starch,Starch,WDGS,WDGS,Corn,Corn (009),,Natural Gas,,Grid Electricity,exact,-0.3299993022661024,False
Yuma Ethanol LLC,Yuma,CO,OR,51.86,CA,64.45,-12.590000000000003,2025-07-10,2026-05-19,Starch,Starch,DDGS,WDGS,Corn,Corn (009),,Natural Gas,,Grid Electricity,exact,-0.3385558961018682,False
Kappa Ethanol Ravenna LLC,Ravenna,NE,OR,51.3,CA,63.9,-12.600000000000001,2025-07-10,2026-05-19,Starch,Starch,WDGS,WDGS,Corn,Corn (009),,Natural Gas,,Grid Electricity,exact,-0.3428341930197511,False
Redfield Energy LLC,Redfield,SD,OR,55.31,CA,68.05,-12.739999999999995,2025-07-10,2026-05-19,Starch,Starch,,DDGS + WDGS,Corn,Corn (009),,Natural Gas,,Grid Electricity,exact,-0.40273034987012074,False
Bonanza Bioenergy LLC,Garden City,KS,OR,51.45,CA,64.45,-13.0,2025-07-10,2026-05-19,Starch,Starch,WDGS,WDGS,Corn,Corn (009),Natural Gas,Natural Gas,Grid Electricity,Grid Electricity,exact,-0.5139660697351003,False
Kappa Ethanol Ravenna LLC,Ravenna,NE,OR,61.62,CA,74.68,-13.06000000000001,2025-07-10,2026-05-19,Starch,Starch,DDGS,DDGS,Corn,Corn (009),,Natural Gas,,Grid Electricity,exact,-0.5396358512424069,False
Glacial Lakes Energy,Watertown,SD,OR,60.55,CA,73.64,-13.090000000000003,2025-07-10,2026-05-19,Starch,Starch,DDGS+MDGS,MDGS,Corn,Corn (009),,Natural Gas,,Grid Electricity,exact,-0.5524707419960555,False
Huron Energy LLC,Huron,SD,OR,64.24,CA,77.6,-13.36,2025-07-10,2026-05-19,Starch,Starch,DDGS,DDGS,Corn,Corn (009),,Natural Gas,,Grid Electricity,exact,-0.6679847587789149,False
Western Plains Energy LLC,Oakley,KS,OR,51.44,CA,64.89,-13.450000000000003,2025-07-10,2026-05-19,Starch,Starch,DDGS,WDGS,Corn,Corn (009),,Natural Gas,,Grid Electricity,exact,-0.7064894310398702,False
Bridgeport Ethanol LLC,Bridgeport,NE,OR,51.19,CA,64.79,-13.600000000000009,2025-07-10,2026-05-19,Starch,Starch,DDGS,WDGS,Corn,Corn (009),,Natural Gas,,Grid Electricity,exact,-0.7706638848081288,False
Arkalon Ethanol LLC,Liberal,KS,OR,59.83,CA,73.9,-14.070000000000007,2025-07-10,2026-05-19,Starch,Starch,DDGS,DDGS,Corn,Corn (009),Natural Gas,Natural Gas,Grid Electricity,Grid Electricity,exact,-0.9717438399486643,False
E Energy Adams LLC,Adams,NE,OR,55.71,CA,69.81,-14.100000000000001,2025-07-10,2026-05-19,Starch,Starch,DDGS+MDGS,DDGS + MDGS,Corn,Corn (009),Natural Gas,Natural Gas,Grid Electricity,Grid Electricity,exact,-0.984578730702313,False
Hankinson Renewable Energy LLC,Hankinson,ND,OR,54.39,CA,68.88,-14.489999999999995,2025-07-10,2026-05-19,Starch,Starch,MDGS,MDGS,Corn,Corn (009),,Natural Gas,,Grid Electricity,exact,-1.1514323104997763,False
Hankinson Renewable Energy LLC,Hankinson,ND,OR,57.06,CA,71.67,-14.61,2025-07-10,2026-05-19,Starch,Starch,DDGS,DDGS,Corn,Corn (009),,Natural Gas,,Grid Electricity,exact,-1.2027718735143833,False
Siouxland Ethnaol LLC,Jackson,NE,OR,51.1,CA,66.5,-15.399999999999999,2025-07-10,2026-05-19,Starch,Starch,,DDGS + MDGS,Corn,Corn (009),Biogas,Biogas,,Grid Electricity,exact,-1.5407573300271988,False
The Andersons Marathon Holdings LLC,Denison,IA,OR,56.45,CA,71.93,-15.480000000000004,2025-07-10,2026-05-19,Starch,Starch,MDGS,MDGS,Corn,Corn (009),,Natural Gas,,Grid Electricity,exact,-1.574983705370271,False
