feedstock_class,count,average_or_ci,average_ca_ci,average_or_minus_ca_difference,median_difference,min_difference,max_difference
corn starch,45,56.85888888888889,68.65755555555556,-11.798666666666668,-12.25,-15.480000000000004,-3.6400000000000006
fiber/cellulosic,21,26.615714285714283,26.009523809523813,0.6061904761904762,0.10999999999999943,-1.6099999999999994,9.04
sorghum,6,69.915,70.41000000000001,-0.49499999999999983,-0.2749999999999986,-3.0400000000000063,0.9300000000000068
