feedstock_class,count,average_wa_ci,average_ca_ci,average_wa_minus_ca_difference,median_difference,min_difference,max_difference
corn starch,43,68.41837209302325,68.7446511627907,-0.32627906976744286,-0.19000000000000483,-4.449999999999989,1.1199999999999974
fiber/cellulosic,22,26.143181818181816,26.432727272727274,-0.28954545454545494,-0.34999999999999964,-1.1300000000000026,0.7699999999999996
sorghum,5,71.078,71.304,-0.2259999999999991,0.0,-0.9099999999999966,0.14000000000000057
