grouping,bucket,pathway_count,facility_count,avg_residual,median_residual,avg_btu,avg_or_ci,avg_ca_ci
outlier_group,other_poet,9,5,0.7755555555555576,0.9899999999999949,20774.04402322614,58.58888888888888,70.06333333333333
outlier_group,iowa_outlier,3,3,7.530000000000001,7.3799999999999955,23177.042664166675,61.96,66.67999999999999
chp_status,CHP,7,5,2.710000000000004,1.3000000000000114,19643.136020062,59.05571428571428,68.59571428571428
chp_status,blank,5,3,2.1199999999999988,1.1099999999999994,23799.11441222025,59.95799999999999,70.088
fiber_technology,BPX,12,8,2.4641666666666686,1.1600000000000037,21374.793683461274,59.43166666666667,69.2175
d3_capability,Yes,12,8,2.4641666666666686,1.1600000000000037,21374.793683461274,59.43166666666667,69.2175
dryer_type,Ring Dryer,12,8,2.4641666666666686,1.1600000000000037,21374.793683461274,59.43166666666667,69.2175
natural_gas_source,Natural Gas,11,7,2.630000000000002,1.210000000000008,22465.481756730736,60.196363636363635,69.81636363636363
natural_gas_source,Biogas,1,1,0.6400000000000006,0.6400000000000006,9377.224877497172,51.02,62.63
