btu_bucket,pathway_count,facility_count,avg_btu,avg_or_ci,avg_ca_ci,avg_or_minus_ca_spread,median_or_minus_ca_spread,min_spread,max_spread
"24,000-26,000",2,1,24353.595263963103,59.785,72.2,-12.415000000000006,-12.415000000000006,-12.570000000000007,-12.260000000000003
"<24,000",10,7,20779.033367360906,59.361000000000004,68.62100000000001,-9.259999999999996,-10.994999999999994,-11.61,-3.640000000000001
